run,meanGamma,meanAlpha,meanTheta,RMSDGamma,RMSDAlpha,RMSDTheta,biasGamma,biasAlpha,biasTheta,corGamma,corAlpha,corTheta
94,3.6360314,0.8916581,0.322617,0.17292089,0.08672121,0.01353473,-0.041825689,-0.015293859,0.002648098,0.9776393,0.8658287,0.9727811
95,3.7616114,0.9402521,0.2869905,0.24940717,0.09852525,0.01262919,0.051352696,0.01237727,-0.001326382,0.88818,0.8768843,0.9767759
96,3.8216272,0.9214588,0.3204977,0.20809356,0.09427305,0.01411963,0.039536825,0.023262997,-0.003246482,0.9819315,0.9146631,0.9693273
97,4.2031073,0.9257819,0.3245029,0.25945826,0.10481783,0.01116883,0.028273387,0.00256108,0.000403398,0.9261528,0.8275575,0.9674666
98,3.7055437,0.8625744,0.3259605,0.27984276,0.10029213,0.01266195,0.085864628,0.011586038,0.000164683,0.9057176,0.8843506,0.9747548
99,3.6256935,0.9768045,0.3175216,0.20357353,0.09409002,0.01311091,0.018802353,-0.00136748,0.001568797,0.9718959,0.8675244,0.9881655
100,4.1376222,0.8967508,0.3291496,0.223196124,0.06358139,0.006554517,0.064142121,0.019341018,-0.001972499,0.9777262,0.9447022,0.9815065
101,3.9665201,0.9027897,0.3372198,0.18558129,0.08708816,0.01199168,0.074109515,0.026889095,-0.002477605,0.962636,0.8575811,0.975197
102,4.1622274,0.9411432,0.2983068,0.3797357,0.11766032,0.01395374,0.075960266,0.025624473,-0.003503969,0.9093025,0.7919144,0.9688986
103,3.721122,0.9754446,0.3249767,0.2462424,0.09466543,0.01229976,0.065491091,0.002190651,0.000780861,0.9650352,0.8644686,0.9679785
104,4.0882147,0.8385446,0.3096835,0.22468537,0.09222458,0.01206204,0.036209545,0.013277651,-0.001267693,0.9281125,0.9027433,0.9861922
105,3.6619158,0.8856126,0.3325186,0.20234135,0.08133138,0.01078013,-0.09489029,-0.02110408,0.00246421,0.9773125,0.8938927,0.979707
106,3.8312799,0.9074703,0.3147019,0.192615832,0.066941628,0.007458434,-0.020755691,-0.012259623,0.001868624,0.9646581,0.8936057,0.991475
107,3.6759503,0.9030822,0.3224874,0.200006829,0.073485935,0.009121242,-0.048242747,-0.018833066,0.003183971,0.9643258,0.8225122,0.9904329
108,3.6833625,0.8187252,0.3199975,0.21721342,0.0870678,0.01115715,-0.044234981,-0.02957872,0.003380422,0.9534472,0.7920085,0.9807183
109,3.8421935,0.9241884,0.3269109,0.23871488,0.08901139,0.01139841,-0.001446592,-0.00260078,-4.17E-05,0.9389397,0.8652197,0.9777857
110,4.3427711,0.9274015,0.3368376,0.39944067,0.14126744,0.01688554,0.007684128,0.008920942,-0.000855455,0.8209588,0.831638,0.9668548
