CExp1,HExp1,CExp2,HExp2,CExp3,HExp3,CExp4,HExp4,CExp5,HExp5
2.8420678,0.703542645,0.9505365,0.712003039,0.9074703,0.835633709,0.9319927,0.83881071,1.206123,0.689036269
3.1729078,0.773907031,0.92983,0.780685043,0.9030822,0.874553445,1.052222,0.819350578,1.8739727,0.726927441
1.3575085,0.75173108,0.9274575,0.802520268,0.8187252,0.837711851,0.9953609,0.802026999,1.2137591,0.712139593
1.5641656,0.692609835,0.924619,0.808745392,0.9241884,0.8326591,0.9391516,0.821063494,1.7392607,0.73249849
2.2430294,0.678986171,0.9670978,0.751698349,0.9274015,0.809517227,0.9099828,0.934631279,2.3273404,0.726311409
1.9548564,0.739729491,1.0962507,0.793710941,0.9226189,0.846178541,0.9130282,0.97914363,2.0129763,0.723496046
2.2460411,0.783543811,0.967407,0.76710183,0.8421089,0.829744496,0.9992497,0.844694818,2.0292912,0.736686648
2.2604778,0.701422025,1.0881078,0.796216085,0.9796503,0.885645271,0.9058191,0.854673894,3.2847645,0.699679744
2.4223702,0.69529118,0.8941315,0.792468237,0.8825751,0.841999556,0.9828,0.901923129,1.4925933,0.725817963
0.7010559,0.731247208,0.8474314,0.794502698,0.9536504,0.852620145,0.8324504,0.902951154,1.1786225,0.737233651
0.9152155,0.752140161,0.9398377,0.820318527,0.9848524,0.790058973,0.8696128,0.907583892,1.8278748,0.702400991
1.0937655,0.774238229,0.9123521,0.774272057,0.9273287,0.859019771,0.7331634,0.963596027,1.8313953,0.717399292
0.9995303,0.72497873,0.9270791,0.826558638,0.8777112,0.835573893,0.8966691,0.912428165,2.1645428,0.74103302
2.6667221,0.701271726,0.9316706,0.741516638,0.9628895,0.842102859,1.1836752,1.06928093,1.5775066,0.69466999
0.844776,0.75587655,0.9825788,0.799746626,0.9226522,0.836839938,0.7560764,0.994305034,2.606998,0.707977504
2.8508855,0.717565784,0.8536463,0.78007556,0.9384583,0.84015032,0.8783192,0.949470579,1.5689224,0.724790201
0.750593,0.709641216,1.0132448,0.793690925,0.9945601,0.843826001,0.9604622,0.874183067,2.65135,0.718772543
1.6043455,0.751401228,0.8590799,0.800182955,0.8957377,0.824237741,1.0078403,0.729145795,1.6963765,0.710148363
1.2194174,0.673923923,0.9581166,0.747632643,0.8035925,0.878941924,0.8028796,1.144849377,1.8670527,0.692705368
0.8683841,0.733746434,0.9762633,0.733942664,0.8731611,0.857196243,0.8416063,0.820312469,1.6409144,0.68966979
0.9385984,0.718543309,0.9931335,0.765135905,0.8660302,0.841988475,1.0016401,0.899622796,1.8658828,0.70844497
2.3288695,0.668425633,1.2099421,0.763054265,0.9045504,0.845396989,0.8705575,0.894128567,1.350889,0.698808799
1.0448588,0.711193193,0.9613359,0.808221878,0.9514786,0.837812582,0.9524435,0.813712119,1.1536322,0.739171006
1.7508262,0.719753126,0.9523507,0.826711198,0.9290988,0.805584592,0.9915414,0.853304346,2.1336909,0.704726524
0.7399715,0.755130534,1.105355,0.840461356,0.9295857,0.831746941,0.8477978,0.949030075,1.6832352,0.731586872
1.5618815,0.682068128,1.0072479,0.78350268,0.8560879,0.822752122,1.1133197,0.78544362,2.1829218,0.678492771
3.1301335,0.712632376,1.12868,0.804525029,0.9928387,0.879711872,0.9696126,0.938633016,1.5605356,0.730379533
0.8380498,0.723762139,0.9219729,0.77229391,0.9716523,0.793844539,0.9021563,1.032494833,1.7862493,0.704812409
2.9604187,0.660419194,0.8127453,0.771596815,0.9042384,0.851164692,0.7705631,0.915279193,1.9572287,0.726355488
2.0267327,0.727984745,0.9706824,0.815619254,0.9101955,0.826660738,0.8773178,0.868298382,1.4949458,0.746077508
0.8017376,0.723128557,0.9351535,0.781902738,0.9552738,0.820673832,0.9125437,0.874895274,1.4383709,0.693365365
2.1149623,0.691986068,0.796494,0.74295513,0.9248022,0.843905558,0.9648893,0.873792289,2.232644,0.688042037
1.4958235,0.744777684,1.0681745,0.769210321,0.8803116,0.849958377,0.9073847,0.897785044,1.6142776,0.703093723
1.2297745,0.775812345,0.8070977,0.815739664,0.9601255,0.809848377,0.9658223,0.853468037,1.4338783,0.702839657
1.1496113,0.742764232,0.9216312,0.831731413,0.9577788,0.893358218,0.9272973,0.896749603,1.5049337,0.676727836
4.0738033,0.745853746,1.005299,0.793596945,0.9097295,0.827538771,1.0439832,0.917209566,1.3326542,0.695728445
2.6286618,0.709971743,1.002161,0.796888357,0.8702257,0.810918306,0.9273222,0.821225353,1.9801581,0.723686266
1.132306,0.743734641,0.9527553,0.821625109,0.9203487,0.877730832,0.9277535,0.864230026,2.237547,0.718267928
1.242242,0.726514036,0.9388058,0.803752927,0.9764419,0.849801688,1.0119119,0.880391125,2.301504,0.705495515
2.335861,0.705126221,1.0182305,0.802765477,0.8688801,0.859232428,0.9363868,0.864785629,1.2365921,0.683367506
1.3203244,0.665936879,0.9436033,0.796382894,0.8474655,0.854897856,1.0000651,0.983907682,2.19615,0.712376069
2.1254272,0.681404254,0.8270691,0.787285963,0.8745384,0.823821822,0.8180469,0.911967792,1.4050378,0.713194051
3.2124198,0.722112654,0.91526,0.822782972,0.9494234,0.857609795,0.9835771,1.003397,2.4011635,0.687537191
1.2056824,0.731203384,0.9310433,0.767894435,0.9601635,0.855359818,0.8627506,0.877336931,2.0150636,0.724211873
1.1693193,0.747907682,1.1051569,0.749456471,0.9502807,0.876304349,0.8512302,0.887224183,1.3177783,0.719027731
